Step,Temperature,Best_Energy
924000,990.802512,379.308624
925000,990.792604,379.308624
926000,990.782696,379.308624
927000,990.772788,379.308624
928000,990.762880,379.308624
929000,990.752973,379.308624
930000,990.743065,379.308624
931000,990.733158,379.308624
932000,990.723250,379.308624
933000,990.713343,379.308624
934000,990.703436,379.308624
935000,990.693529,379.308624
936000,990.683622,379.308624
937000,990.673715,379.308624
938000,990.663809,379.308624
939000,990.653902,379.308624
940000,990.643995,379.308624
941000,990.634089,379.308624
942000,990.624183,379.308624
943000,990.614276,379.308624
944000,990.604370,379.308624
945000,990.594464,379.308624
946000,990.584558,379.308624
947000,990.574652,379.308624
948000,990.564747,379.308624
949000,990.554841,379.308624
950000,990.544935,379.308624
951000,990.535030,379.308624
952000,990.525125,379.308624
953000,990.515219,379.308624
954000,990.505314,379.308624
955000,990.495409,379.308624
956000,990.485504,379.308624
957000,990.475599,379.308624
958000,990.465695,379.308624
959000,990.455790,379.308624
960000,990.445885,379.308624
961000,990.435981,379.308624
962000,990.426077,379.308624
963000,990.416172,379.308624
964000,990.406268,379.308624
965000,990.396364,379.308624
966000,990.386460,379.308624
967000,990.376556,379.308624
968000,990.366652,379.308624
969000,990.356749,379.308624
970000,990.346845,379.308624
971000,990.336942,379.308624
972000,990.327038,379.308624
973000,990.317135,379.308624
974000,990.307232,379.308624
975000,990.297329,379.308624
976000,990.287426,379.308624
977000,990.277523,379.308624
978000,990.267620,379.308624
979000,990.257718,379.308624
980000,990.247815,379.308624
981000,990.237913,379.308624
982000,990.228010,379.308624
983000,990.218108,379.308624
984000,990.208206,379.308624
985000,990.198304,379.308624
986000,990.188402,379.308624
987000,990.178500,379.308624
988000,990.168598,379.308624
989000,990.158696,379.308624
990000,990.148795,379.308624
991000,990.138893,379.308624
992000,990.128992,379.308624
993000,990.119091,379.308624
994000,990.109189,379.308624
995000,990.099288,379.308624
996000,990.089387,379.308624
997000,990.079486,379.308624
998000,990.069586,379.308624
999000,990.059685,379.308624
